date,season,holiday,weekday,weather,temperature,realfeel,humidity,windspeed,rentals
1/1/2011,1,0,6,2,46.7165282,46.39865,0.805833,6.679664928,985
1/2/2011,1,0,0,2,48.3502388,45.2241932,0.696087,10.34714011,801
1/3/2011,1,0,1,1,34.2123944,25.701314,0.437273,10.33756478,1349
1/4/2011,1,0,2,1,34.52,28.4000936,0.590435,6.67342015,1562
1/5/2011,1,0,3,1,36.8005622,30.437276,0.436957,7.780994073,1600
1/6/2011,1,0,4,1,34.8878408,,0.518261,3.728765599,1606
1/7/2011,1,0,5,2,34.2257612,28.0100732,0.498696,7.024376704,1510
1/8/2011,1,0,6,2,31.559,22.4757752,0.535833,11.10754598,959
1/9/2011,1,0,0,1,29.3029718,17.00159,0.434167,15.06865064,822
1/10/2011,1,0,1,1,30.3604718,21.1254944,0.482917,9.295019817,1321
1/11/2011,1,0,2,2,31.9050986,25.9459232,0.686364,5.084581959,1263
1/12/2011,1,0,3,1,32.2127042,22.2641924,0.599545,12.6821877,1162
1/13/2011,1,0,4,1,31.559,21.1249004,0.470417,12.53118896,1406
1/14/2011,1,0,5,1,31.209602,25.5834644,0.537826,5.26842824,1421
1/15/2011,1,0,6,2,37.3399718,32.6757056,0.49875,6.576293027,1248
1/16/2011,1,0,0,1,37.1990282,31.0249796,0.48375,7.84481571,1204
1/17/2011,1,1,1,2,32.4754718,24.2003948,0.5375,8.077288,1000
1/18/2011,1,0,2,2,35.9300282,30.8011604,0.861667,6.110515811,683
1/19/2011,1,0,3,2,42.3179204,38.6525336,0.741739,8.672623555,1650
1/20/2011,1,0,4,2,39.7370282,33.49994,0.538333,8.155847314,1927
1/21/2011,1,0,5,1,32.6165,21.9505604,0.457083,14.70612043,1543
1/22/2011,1,0,6,1,22.60243184,12.59346848,0.4,7.159430448,981
1/23/2011,1,0,0,1,25.76573582,14.94208508,0.436522,10.26641594,986
1/24/2011,1,0,1,1,25.83930398,,0.491739,6.591571919,1416
1/25/2011,1,0,2,2,36.5062388,31.0616888,0.616957,5.403648511,1985
1/26/2011,1,0,3,3,36.0005,27.38768,0.8625,12.23352118,506
1/27/2011,1,0,4,1,34.097,29.30036,0.6875,4.739245705,431
1/28/2011,1,0,5,2,34.8142388,29.7300596,0.793043,5.133207968,1167
1/29/2011,1,0,6,1,34.2257612,28.4005688,0.651739,6.051814893,1098
1/30/2011,1,0,0,1,35.9177612,32.9382536,0.722174,3.080033024,1096
1/31/2011,1,0,1,2,32.8984718,,0.60375,7.793150576,1501
2/1/2011,1,0,2,2,33.8579204,31.062164,0.829565,2.215356007,1360
2/2/2011,1,0,3,2,39.596,33.4247396,0.775417,11.00363286,1526
2/3/2011,1,0,4,1,33.4165622,24.3319064,0.437826,11.56333155,1550
2/4/2011,1,0,5,2,35.4763184,30.3561356,0.585217,5.322174967,1708
2/5/2011,1,0,6,2,37.3399718,32.0752904,0.929167,6.706017894,1005
2/6/2011,1,0,0,1,41.7814718,37.8505148,0.568333,5.903397323,1623
2/7/2011,1,0,1,1,40.5830282,39.2745704,0.738333,1.890431852,1712
2/8/2011,1,0,2,1,36.2824718,26.7516248,0.537917,15.06865064,1530
2/9/2011,1,0,3,2,29.0026418,20.3408204,0.494783,7.861718244,1605
2/10/2011,1,0,4,1,29.8118408,20.9663024,0.437391,9.239566183,1538
2/11/2011,1,0,5,1,33.5970986,28.5648692,0.506364,4.519138077,1746
2/12/2011,1,0,6,1,36.4235,30.8749352,0.544167,8.466545863,1472
2/13/2011,1,0,0,1,44.3777612,41.7046244,0.457391,10.86104375,1589
2/14/2011,1,0,1,1,52.709,50.52398,0.375833,17.3982861,1913
2/15/2011,1,0,2,1,40.1109602,33.4077512,0.314348,12.1304407,1815
2/16/2011,1,0,3,1,44.5248806,40.76456,0.423478,10.48252691,2115
2/17/2011,1,0,4,1,54.4714718,54.1245704,0.505,9.579656823,2475
2/18/2011,1,0,5,1,61.7330282,64.0235804,0.516667,11.02931972,2927
2/19/2011,1,0,6,1,51.3695282,49.6987952,0.187917,21.12662705,1635
2/20/2011,1,0,0,1,41.7293582,,0.407826,9.293687597,1812
2/21/2011,1,1,1,2,43.2619718,36.94811,0.605,12.81620065,1107
2/22/2011,1,0,2,1,33.0159812,25.3007204,0.577778,8.146646673,1450
2/23/2011,1,0,3,1,36.3591194,32.3911796,0.423043,3.918098958,1917
2/24/2011,1,0,4,2,42.6121592,37.5558908,0.697391,10.42861365,1807
2/25/2011,1,0,5,2,48.4238408,44.8347668,0.712174,14.42706209,1461
2/26/2011,1,0,6,1,41.4995,36.7244096,0.537917,7.767297192,1969
2/27/2011,1,0,0,1,46.6582388,44.9117492,0.68,5.214306826,2402
2/28/2011,1,0,1,2,52.0552958,,0.876364,12.06016613,1446
3/1/2011,1,0,2,1,40.1600282,34.5488252,0.535,9.010174651,1851
3/2/2011,1,0,3,1,45.941,41.2244348,0.449583,12.81565944,2134
3/3/2011,1,0,4,1,34.3789718,26.9758004,0.318333,9.398558245,1685
3/4/2011,1,0,5,2,39.7370282,33.5746652,0.610417,8.465671594,1944
3/5/2011,1,0,6,2,50.1005282,48.1989452,0.789167,10.48585745,2077
3/6/2011,1,0,0,2,49.4537612,46.7107376,0.948261,14.29167529,605
3/7/2011,1,0,1,1,39.7431194,,0.551304,14.21111765,1872
3/8/2011,1,0,2,1,42.3455,39.12512,0.420833,5.022883547,2133
3/9/2011,1,0,3,2,42.6274718,37.2490304,0.775417,9.165253319,1891
3/10/2011,1,0,4,3,50.5170986,49.0173584,0,10.90242582,623
3/11/2011,1,0,5,2,44.3777612,39.434,0.649565,9.698973725,1977
3/12/2011,1,0,6,1,45.4475282,41.8991,0.594583,9.191273229,2132
3/13/2011,1,0,0,1,50.1158408,48.3548108,0.527391,11.26574703,2417
3/14/2011,1,0,1,1,45.1133582,42.6416,0.496957,5.700483652,2046
3/15/2011,1,0,2,2,44.4512786,40.9995464,0.655652,7.673125932,2056
3/16/2011,1,0,3,2,48.4973582,46.791284,0.776522,8.456137898,2192
3/17/2011,1,0,4,1,52.709,51.9475604,0.602917,8.725162958,2744
3/18/2011,1,0,5,1,63.284,65.8086692,0.525217,9.617666709,3239
3/19/2011,1,0,6,1,57.5735,58.62317,0.379167,15.3274759,3117
3/20/2011,1,0,0,1,45.7295,41.8991,0.47375,8.647810968,2471
3/21/2011,2,0,1,2,54.014801,51.876518,0.737391,12.02257256,2077
3/22/2011,2,0,2,1,54.9650282,55.5482696,0.624583,9.398391718,2703
3/23/2011,2,0,3,2,46.9525622,43.3471532,0.839565,9.752720453,2121
3/24/2011,2,0,4,2,41.711,35.3749604,0.805833,10.14930552,1865
3/25/2011,2,0,5,1,39.9485282,33.6498656,0.495,9.605510206,2210
3/26/2011,2,0,6,1,40.0894718,33.7994348,0.394167,8.724829903,2496
3/27/2011,2,0,0,2,39.0074378,,0.493913,7.672751245,1693
3/28/2011,2,0,1,1,39.9638408,33.7997912,0.302174,8.834446583,2028
3/29/2011,2,0,2,1,43.1915,37.9974704,0.314167,9.450265012,2425
3/30/2011,2,0,3,2,42.98,38.52518,0.646667,7.197648493,1536
3/31/2011,2,0,4,3,40.3009718,33.79991,0.918333,9.061007149,1685
4/1/2011,2,0,5,2,42.98,36.8743352,0.68625,10.77049446,2227
4/2/2011,2,0,6,2,44.249,40.6976756,0.65375,8.20755408,2252
4/3/2011,2,0,0,1,49.6069718,48.1975196,0.48,7.58586556,3249
4/4/2011,2,0,1,1,66.1039718,67.6999652,0.42625,16.05203674,3115
4/5/2011,2,0,2,2,52.6385282,50.52398,0.642083,16.15594985,1795
4/6/2011,2,0,3,1,50.6644718,49.2478304,0.470833,10.9518012,2808
4/7/2011,2,0,4,1,54.6125,54.7230848,0.602917,6.757349973,3141
4/8/2011,2,0,5,2,46.0114718,41.7481052,0.83625,9.450098484,1471
4/9/2011,2,0,6,2,46.5755,43.7736452,0.8775,5.540492425,2455
4/10/2011,2,0,0,2,53.6960282,53.8963556,0.8575,6.110182756,2895
4/11/2011,2,0,1,2,67.9921592,70.3477796,0.716956,13.50845517,3348
4/12/2011,2,0,2,2,60.1115,61.7748152,0.739167,11.44372322,2034
4/13/2011,2,0,3,2,52.4975,52.7732204,0.819167,10.43365111,2162
4/14/2011,2,0,4,1,57.1505,58.1737496,0.540417,4.60864657,3267
4/15/2011,2,1,5,1,55.3880282,55.6992644,0.67125,9.424411628,3126
4/16/2011,2,0,6,3,54.0484718,,0.888333,14.18846992,795
4/17/2011,2,0,0,1,56.2340282,56.1486848,0.479583,12.63510207,3744
4/18/2011,2,0,1,1,60.9575,62.9737448,0.5425,6.809597954,3429
4/19/2011,2,0,2,2,60.3934718,61.3238504,0.665833,6.576626082,3204
4/20/2011,2,0,3,1,67.937,70.2497696,0.614167,10.071787,3944
4/21/2011,2,0,4,1,56.4455282,57.1223696,0.407083,13.54109454,4189
4/22/2011,2,0,5,2,46.0820282,41.4481352,0.729583,9.13906688,1683
4/23/2011,2,0,6,2,56.516,56.6743748,0.887917,9.605510206,4036
4/24/2011,2,0,0,2,66.8090282,68.7494444,0.810833,8.000602119,4191
4/25/2011,2,0,1,1,68.9240282,71.4506,0.776667,7.715756953,4073
4/26/2011,2,0,2,1,71.0390282,73.7770604,0.729167,13.59280131,4400
4/27/2011,2,0,3,2,70.052,71.5268696,0.835417,12.99746576,3872
4/28/2011,2,0,4,2,69.8405,71.9767652,0.700833,13.35999597,4058
4/29/2011,2,0,5,1,60.746,62.2986044,0.457083,9.994268487,4595
4/30/2011,2,0,6,1,57.5735,58.3256948,0.503333,9.786608784,5312
5/1/2011,2,0,0,2,55.8110282,56.4466352,0.762083,4.427714519,3351
5/2/2011,2,0,1,2,64.0595282,66.5005604,0.73,7.637530694,4401
5/3/2011,2,0,2,2,69.7700282,72.3509852,0.697083,14.26586354,4451
5/4/2011,2,0,3,2,52.6385282,51.27242,0.737083,13.69671443,2633
5/5/2011,2,0,4,1,56.4455282,55.6997396,0.444167,12.2977175,4433
5/6/2011,2,0,5,1,58.1375282,59.5250996,0.59,9.502304833,4608
5/7/2011,2,0,6,1,61.592,64.0993748,0.54125,6.679831456,4714
5/8/2011,2,0,0,1,62.2969718,64.8492404,0.631667,3.107297727,4333
5/9/2011,2,0,1,1,62.6495,65.5992248,0.58875,7.327206832,4362
5/10/2011,2,0,2,1,62.6495,65.2992548,0.489167,4.815598531,4803
5/11/2011,2,0,3,1,63.4955,65.97392,0.632917,5.022550492,4182
5/12/2011,2,0,4,1,62.861,65.3755244,0.7475,7.896189422,4864
5/13/2011,2,0,5,2,60.9575,61.92284,0.863333,7.482285499,4105
5/14/2011,2,0,6,2,61.6624718,62.6747252,0.9225,5.618219102,3409
5/15/2011,2,0,0,2,65.1875,66.8768,0.867083,6.368799852,4553
5/16/2011,2,0,1,1,66.4565,68.6008256,0.787917,5.281875329,3958
5/17/2011,2,0,2,2,65.1170282,67.1772452,0.837917,11.54676207,4123
5/18/2011,2,0,3,2,64.13,65.8263704,0.87,8.388486131,3855
5/19/2011,2,0,4,2,62.5084718,63.8761496,0.829583,4.505108142,4575
5/20/2011,2,0,5,1,63.0020282,66.0501896,0.719583,5.204523339,4917
5/21/2011,2,0,6,1,68.5715,71.15063,0.626667,5.022883547,5805
5/22/2011,2,0,0,1,68.7125282,71.4506,0.749583,6.161847891,4660
5/23/2011,2,0,1,2,71.0390282,73.3271648,0.81,9.735276705,4274
5/24/2011,2,0,2,2,73.436,75.0517844,0.740833,8.62162453,4492
5/25/2011,2,0,3,1,73.5064718,76.3263896,0.69625,6.421006201,4978
5/26/2011,2,0,4,1,77.5249718,80.9769344,0.6775,8.311467195,4677
5/27/2011,2,0,5,1,75.2690282,78.8765504,0.65375,10.01991371,4679
5/28/2011,2,0,6,1,73.0834718,75.9506252,0.729583,9.579157241,4758
5/29/2011,2,0,0,1,74.0705,76.32734,0.81875,8.906636223,4788
5/30/2011,2,1,1,1,79.6399718,82.9257296,0.685,5.463140435,4098
5/31/2011,2,0,2,1,83.165,89.3755004,0.636667,4.634833008,3982
6/1/2011,2,0,3,2,82.2485282,88.8508796,0.677083,8.62162453,3974
6/2/2011,2,0,4,1,78.089,79.7003096,0.305,12.16845059,4968
6/3/2011,2,0,5,1,70.052,72.9514004,0.354167,10.53789728,5312
6/4/2011,2,0,6,1,71.321,73.8498848,0.45625,5.126630135,5342
6/5/2011,2,0,0,2,72.4489718,76.4763152,0.6525,5.774005511,4906
6/6/2011,2,0,1,1,74.9869718,77.0767304,0.6,5.074756841,4548
6/7/2011,2,0,2,1,77.4545,81.12686,0.597917,7.818795799,4833
6/8/2011,2,0,3,1,83.2354718,89.6007452,0.622083,5.695945779,4401
6/9/2011,2,0,4,2,85.9849718,93.2003852,0.568333,6.239907623,3915
6/10/2011,2,0,5,1,81.473,,0.605,5.851524029,4586
6/11/2011,2,0,6,1,78.935,,0.654583,6.446693056,4966
6/12/2011,2,0,0,1,76.1855,79.62701,0.747917,6.809597954,4460
6/13/2011,2,0,1,1,71.321,74.6764952,0.494583,12.71228753,5020
6/14/2011,2,0,2,1,68.7125282,,0.507083,11.21075135,4891
6/15/2011,2,0,3,1,70.6160282,73.0251752,0.471667,6.990488373,5180
6/16/2011,2,0,4,2,70.7569718,73.9271048,0.688333,8.595771147,3767
6/17/2011,2,0,5,1,72.5195282,74.5255004,0.735833,5.954562875,4844
6/18/2011,2,0,6,1,76.5380282,79.7017352,0.670417,4.971176781,5119
6/19/2011,2,0,0,2,76.7495282,79.9265048,0.666667,4.246449414,4744
6/20/2011,2,0,1,2,71.321,73.9271048,0.74625,6.472712967,4010
6/21/2011,3,0,2,2,75.1984718,78.9523448,0.770417,7.120088343,4835
6/22/2011,3,0,3,1,79.6399718,85.6268852,0.7075,7.171586951,4507
6/23/2011,3,0,4,2,79.2169718,85.6273604,0.703333,9.941853979,4790
6/24/2011,3,0,5,1,78.8645282,81.2020604,0.573333,9.24331305,4991
6/25/2011,3,0,6,1,76.397,79.6255844,0.483333,8.724829903,5202
6/26/2011,3,0,0,1,75.128,78.9503252,0.513333,3.935596827,5305
6/27/2011,3,0,1,2,75.3395,78.8760752,0.658333,4.479088231,4708
6/28/2011,3,0,2,1,80.5565282,,0.634167,6.006769224,4648
6/29/2011,3,0,3,1,79.2169718,80.9769344,0.497917,10.90009443,5225
6/30/2011,3,0,4,1,76.5380282,78.8765504,0.434167,7.714882684,5515
7/1/2011,3,0,5,1,78.7235,80.6768456,0.39625,4.271761583,5362
7/2/2011,3,0,6,1,80.0629718,82.4761904,0.444583,4.79024473,5119
7/3/2011,3,0,0,2,78.2300282,82.62671,0.6825,9.527783529,4649
7/4/2011,3,1,1,2,79.0760282,82.2515396,0.637917,3.392130403,6043
7/5/2011,3,0,2,1,80.7680282,85.9249544,0.590417,5.256355001,4665
7/6/2011,3,0,3,1,78.512,84.6532004,0.743333,6.239907623,4629
7/7/2011,3,0,4,1,81.05,84.8002748,0.65125,6.627791634,4592
7/8/2011,3,0,5,2,77.5955282,82.8533804,0.757917,9.372538335,4040
7/9/2011,3,0,6,1,79.6399718,82.1019704,0.609167,6.990488373,5336
7/10/2011,3,0,0,1,80.8385,85.17497,0.578333,7.638238436,4881
7/11/2011,3,0,1,1,82.1075,89.9007152,0.635833,11.75421361,4086
7/12/2011,3,0,2,1,84.7865282,91.02587,0.559167,8.336945892,4258
7/13/2011,3,0,3,1,80.7680282,85.1011952,0.631667,6.083788159,4342
7/14/2011,3,0,4,1,75.1984718,78.6503552,0.47625,10.01941413,5084
7/15/2011,3,0,5,1,73.7179718,77.3752748,0.59125,7.611677311,5538
7/16/2011,3,0,6,1,75.6920282,79.0256444,0.585,8.673664351,5923
7/17/2011,3,0,0,1,78.4415282,82.7761604,0.604167,10.20117882,5302
7/18/2011,3,0,1,1,80.7680282,86.82629,0.65125,8.984321268,4458
7/19/2011,3,0,2,1,83.3060282,92.0005052,0.650417,5.437120524,4541
7/20/2011,3,0,3,1,82.6009718,91.92578,0.707083,4.738413068,4332
7/21/2011,3,0,4,2,86.549,101.3728748,0.69125,9.243146523,3784
7/22/2011,3,0,5,1,89.3689718,103.0984448,0.580417,5.541200167,3387
7/23/2011,3,0,6,1,89.4395282,98.7492956,0.5,5.462973907,3285
7/24/2011,3,0,0,1,87.818,97.6256852,0.550833,7.042902881,3606
7/25/2011,3,0,1,1,80.4859718,88.8498104,0.757083,3.78051816,3840
7/26/2011,3,0,2,1,82.8830282,86.0011052,0.540833,8.337112419,4590
7/27/2011,3,0,3,1,83.165,85.2512396,0.402917,7.637905381,4656
7/28/2011,3,0,4,1,83.5175282,91.10012,0.583333,7.430412206,4390
7/29/2011,3,0,5,1,88.5229718,96.5728796,0.5425,7.249688314,3846
7/30/2011,3,0,6,1,85.6325282,89.7501956,0.465833,7.016508283,4475
7/31/2011,3,0,0,1,85.7734718,89.8997648,0.480833,6.861471248,4302
8/1/2011,3,0,1,1,82.8830282,86.7510896,0.550833,6.524419733,4266
8/2/2011,3,0,2,1,83.8699718,,0.49125,8.569917763,4845
8/3/2011,3,0,3,2,79.4990282,,0.6575,5.644572068,3574
8/4/2011,3,0,4,2,77.666,82.1768144,0.7575,8.207720608,4576
8/5/2011,3,0,5,1,77.7364718,81.2001596,0.630833,7.68923746,4866
8/6/2011,3,0,6,2,78.2300282,83.5270952,0.755,9.50247136,4294
8/7/2011,3,0,0,1,80.4155,88.1766896,0.752917,8.388277971,3785
8/8/2011,3,0,1,1,82.319,86.7500204,0.592083,8.000602119,4326
8/9/2011,3,0,2,1,83.165,89.2255748,0.570417,6.291447862,4602
8/10/2011,3,0,3,1,82.4600282,84.5759804,0.424167,8.337112419,4780
8/11/2011,3,0,4,1,78.3005,80.6006948,0.42375,6.860763506,4792
8/12/2011,3,0,5,1,77.5249718,80.9001896,0.415,5.229835508,4905
8/13/2011,3,0,6,2,75.6214718,79.9279304,0.729583,8.80322269,4150
8/14/2011,3,0,0,2,74.8460282,77.3772944,0.8175,9.268625219,3820
8/15/2011,3,0,1,1,73.9294718,76.4006396,0.712083,8.699143048,4338
8/16/2011,3,0,2,1,76.8904718,79.9254356,0.578333,9.838815133,4725
8/17/2011,3,0,3,1,78.7939718,82.4005148,0.575417,5.981124,4694
8/18/2011,3,0,4,1,77.8070282,81.8762504,0.654583,9.708882107,3805
8/19/2011,3,0,5,2,75.551,78.4266548,0.722917,5.799650735,4153
8/20/2011,3,0,6,1,76.6085,80.3007248,0.674167,4.349155205,5191
8/21/2011,3,0,0,1,77.7364718,83.45237,0.77,10.35609096,3873
8/22/2011,3,0,1,1,76.1150282,79.0245752,0.47,11.52161642,4758
8/23/2011,3,0,2,1,71.8144718,75.2007596,0.455417,6.110016229,5895
8/24/2011,3,0,3,1,74.5639718,78.1262096,0.605,10.53735606,5130
8/25/2011,3,0,4,2,75.4805282,79.9274552,0.771667,8.777369307,3542
8/26/2011,3,0,5,1,76.82,81.5762804,0.76125,3.495514793,4661
8/27/2011,3,0,6,2,75.128,78.7040528,0.85,15.63763323,1115
8/28/2011,3,0,0,1,77.4171914,80.1775292,0.561765,12.68351992,4334
8/29/2011,3,0,1,1,71.4620282,75.4254104,0.554583,6.653811545,4634
8/30/2011,3,0,2,1,71.6735282,73.8508352,0.548333,5.20431518,5204
8/31/2011,3,0,3,1,73.1540282,75.8011748,0.597917,3.469320029,5058
9/1/2011,3,0,4,1,73.013,76.2526148,0.639167,5.903230795,5115
